year,quarter,market,internal_class,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing
2018,Q1,Northern New Jersey,A,112490880,29831785,0.265192921,28.47296006,27.27612862,NA,NA,NA,NA,NA,NA,NA,NA,1005114
2018,Q1,Northern New Jersey,O,33748105,7516540,0.222724802,23.9935875,27.27612862,NA,NA,NA,NA,NA,NA,NA,NA,118100
2018,Q1,Northern Virginia,A,98172791,21540326,0.219412383,33.66379739,31.83788693,NA,NA,NA,NA,NA,NA,NA,NA,3476628
2018,Q1,Northern Virginia,O,50820827,11232437,0.221020351,28.97393407,31.83788693,NA,NA,NA,NA,NA,NA,NA,NA,528874
2018,Q1,Orange County (CA),A,42676775,8496263,0.199083998,33.95114154,32.11845662,NA,NA,NA,NA,NA,NA,NA,NA,810031
2018,Q1,Orange County (CA),O,40590141,6443150,0.158736822,30.65500801,32.11845662,NA,NA,NA,NA,NA,NA,NA,NA,555694
2018,Q1,Philadelphia,A,85439454,14687541,0.171905839,27.57734413,25.85799512,NA,NA,NA,NA,NA,NA,NA,NA,1385237
2018,Q1,Philadelphia,O,45525612,8339192,0.183175835,22.96516789,25.85799512,NA,NA,NA,NA,NA,NA,NA,NA,516131
2018,Q1,Phoenix,A,43850174,7430740,0.16945748,28.98544721,25.60411757,NA,NA,NA,NA,NA,NA,NA,NA,699929
2018,Q1,Phoenix,O,55308218,9939404,0.179858641,23.07156703,25.60411757,NA,NA,NA,NA,NA,NA,NA,NA,502442
2018,Q1,Raleigh-Durham,A,32440631,3742211,0.115355679,26.30587048,23.86006206,NA,NA,NA,NA,NA,NA,NA,NA,304661
2018,Q1,Raleigh-Durham,O,20076856,1999315,0.099583072,20.03471888,23.86006206,NA,NA,NA,NA,NA,NA,NA,NA,133715
2018,Q1,Salt Lake City,A,20101852,2511868,0.124957044,29.06169465,24.9947755,NA,NA,NA,NA,NA,NA,NA,NA,186939
2018,Q1,Salt Lake City,O,24556347,2643176,0.107637182,21.11489771,24.9947755,NA,NA,NA,NA,NA,NA,NA,NA,261170
2018,Q1,San Diego,A,30551450,4923858,0.161166098,36.53312516,32.61946134,NA,NA,NA,NA,NA,NA,NA,NA,661104
2018,Q1,San Diego,O,33356642,4634398,0.138934788,28.33964357,32.61946134,NA,NA,NA,NA,NA,NA,NA,NA,637912
2018,Q1,San Francisco,A,44952535,4245116,0.09443552,68.80914798,67.09976589,NA,NA,NA,NA,NA,NA,NA,NA,1147511
2018,Q1,San Francisco,O,29925387,3246879,0.108499148,64.57891972,67.09976589,NA,NA,NA,NA,NA,NA,NA,NA,748857
2018,Q1,Seattle,A,59853980,4721407,0.078882089,41.59917863,32.1894026,NA,NA,NA,NA,NA,NA,NA,NA,1332616
2018,Q1,Seattle,O,51751866,7225706,0.139622135,28.03508197,32.1894026,NA,NA,NA,NA,NA,NA,NA,NA,1031611
2018,Q1,South Bay,A,30265460,4580879,0.151356662,51.14203726,48.86598827,NA,NA,NA,NA,NA,NA,NA,NA,1331761
2018,Q1,South Bay,O,50548965,7131492,0.141080871,47.47978827,48.86598827,NA,NA,NA,NA,NA,NA,NA,NA,592652
2018,Q1,South Florida,A,51568556,8778332,0.170226446,37.44293864,32.82683854,NA,NA,NA,NA,NA,NA,NA,NA,610763
2018,Q1,South Florida,O,50893104,7819149,0.153638674,27.75534421,32.82683854,NA,NA,NA,NA,NA,NA,NA,NA,603367
2018,Q1,Suburban Maryland,A,38378226,7911816,0.206153771,28.07398069,26.69386246,NA,NA,NA,NA,NA,NA,NA,NA,584426
2018,Q1,Suburban Maryland,O,21724704,4421421,0.203520425,24.04568024,26.69386246,NA,NA,NA,NA,NA,NA,NA,NA,213664
2018,Q1,Tampa,A,22606282,2633830,0.116508765,28.32227597,22.9696083,NA,NA,NA,NA,NA,NA,NA,NA,843021
2018,Q1,Tampa,O,28107216,4804849,0.170947169,20.03204074,22.9696083,NA,NA,NA,NA,NA,NA,NA,NA,292332
2018,Q1,US National,A,1988336006,355901813,0.178994804,35.90802155,32.35182653,NA,NA,NA,NA,NA,NA,NA,NA,39020606
2018,Q1,US National,O,1538325855,255634914,0.166205914,27.70743568,32.35182653,NA,NA,NA,NA,NA,NA,NA,NA,19613269
2018,Q1,Washington DC,A,76358636,11716793,0.153444242,53.48714441,50.60114047,NA,NA,NA,NA,NA,NA,NA,NA,1796069
2018,Q1,Washington DC,O,47483447,8365550,0.176178237,46.02699219,50.60114047,NA,NA,NA,NA,NA,NA,NA,NA,460006
2018,Q2,Atlanta,A,103299677,21402315,0.207186659,29.25190058,26.0678751,NA,NA,NA,NA,NA,NA,NA,NA,1440017
2018,Q2,Atlanta,O,65945176,12365457,0.187511168,20.21906043,26.0678751,NA,NA,NA,NA,NA,NA,NA,NA,792610
2018,Q2,Austin,A,37106334,4709924,0.126930459,39.65927203,35.74421161,NA,NA,NA,NA,NA,NA,NA,NA,1131284
2018,Q2,Austin,O,27947525,3410823,0.122879073,29.72237516,35.74421161,NA,NA,NA,NA,NA,NA,NA,NA,564166
2018,Q2,Baltimore,A,41162288,6931274,0.168388939,27.20366531,23.42917575,NA,NA,NA,NA,NA,NA,NA,NA,426376
2018,Q2,Baltimore,O,40289706,6678421,0.165759983,20.65337307,23.42917575,NA,NA,NA,NA,NA,NA,NA,NA,342126
2018,Q2,Boston,A,133073672,18646228,0.140119587,45.70719304,35.21716338,NA,NA,NA,NA,NA,NA,NA,NA,1898167
2018,Q2,Boston,O,116186937,15267730,0.131406597,21.96691044,35.21716338,NA,NA,NA,NA,NA,NA,NA,NA,1126223
2018,Q2,Charlotte,A,37279246,6442771,0.172824606,29.37910095,26.82266044,NA,NA,NA,NA,NA,NA,NA,NA,522574
2018,Q2,Charlotte,O,27835480,3003910,0.107916587,20.95726669,26.82266044,NA,NA,NA,NA,NA,NA,NA,NA,237895
2018,Q2,Chicago Suburbs,A,54362692,14342983,0.263838719,26.86119466,23.50885505,NA,NA,NA,NA,NA,NA,NA,NA,1014777
2018,Q2,Chicago Suburbs,O,46523263,12077233,0.25959557,19.76003993,23.50885505,NA,NA,NA,NA,NA,NA,NA,NA,489801
2018,Q2,Dallas-Ft. Worth,A,121184708,29754032,0.245526292,26.35887131,24.22425907,NA,NA,NA,NA,NA,NA,NA,NA,2549100
2018,Q2,Dallas-Ft. Worth,O,83525774,19954275,0.238899612,20.92074804,24.22425907,NA,NA,NA,NA,NA,NA,NA,NA,1388775
2018,Q2,Denver-Boulder,A,53138612,10131818,0.19066772,31.20640444,27.57588296,NA,NA,NA,NA,NA,NA,NA,NA,1071904
2018,Q2,Denver-Boulder,O,57241134,10139893,0.177143468,24.13549163,27.57588296,NA,NA,NA,NA,NA,NA,NA,NA,930604
2018,Q2,Detroit,A,34423167,6472413,0.188024914,21.33365002,18.88035665,NA,NA,NA,NA,NA,NA,NA,NA,345698
2018,Q2,Detroit,O,47275239,9315789,0.197054297,17.01452233,18.88035665,NA,NA,NA,NA,NA,NA,NA,NA,390975
2018,Q2,Downtown Chicago,A,65789608,9476309,0.144039603,45.30068385,40.05563844,NA,NA,NA,NA,NA,NA,NA,NA,2716615
2018,Q2,Downtown Chicago,O,72611317,12079383,0.166356754,35.40905847,40.05563844,NA,NA,NA,NA,NA,NA,NA,NA,947821
2018,Q2,Houston,A,114154896,32526877,0.284936329,33.56396042,28.51650151,NA,NA,NA,NA,NA,NA,NA,NA,1991765
2018,Q2,Houston,O,78051358,19945987,0.255642866,20.5381144,28.51650151,NA,NA,NA,NA,NA,NA,NA,NA,1189553
2018,Q2,Los Angeles,A,144098024,25837665,0.179306171,39.03307569,36.58130152,NA,NA,NA,NA,NA,NA,NA,NA,2418566
2018,Q2,Los Angeles,O,69043674,11504788,0.166630588,31.82065201,36.58130152,NA,NA,NA,NA,NA,NA,NA,NA,1003714
2018,Q2,Nashville,A,21176858,2708177,0.127883797,30.89893822,27.90414623,NA,NA,NA,NA,NA,NA,NA,NA,113616
2018,Q2,Nashville,O,22248695,2245696,0.100936077,24.7363157,27.90414623,NA,NA,NA,NA,NA,NA,NA,NA,238435
2018,Q2,Manhattan,A,244192517,29535879,0.120953252,82.03311565,73.90422028,NA,NA,NA,NA,NA,NA,NA,NA,6703076
2018,Q2,Manhattan,O,199870492,20756796,0.103851228,62.17511997,73.90422028,NA,NA,NA,NA,NA,NA,NA,NA,4324015
2018,Q2,Northern New Jersey,A,112490880,30215591,0.268604806,28.42832632,27.20733578,NA,NA,NA,NA,NA,NA,NA,NA,1754265
2018,Q2,Northern New Jersey,O,33549455,7868683,0.234539816,23.81423669,27.20733578,NA,NA,NA,NA,NA,NA,NA,NA,323755
2018,Q2,Northern Virginia,A,98610960,21315720,0.216159745,34.44486686,32.30101111,NA,NA,NA,NA,NA,NA,NA,NA,2188728
2018,Q2,Northern Virginia,O,50820827,11186620,0.220118811,28.71555141,32.30101111,NA,NA,NA,NA,NA,NA,NA,NA,602817
2018,Q2,Orange County (CA),A,43620738,8450291,0.193721871,39.39318448,35.53164976,NA,NA,NA,NA,NA,NA,NA,NA,1163930
2018,Q2,Orange County (CA),O,40590141,5966555,0.146995178,29.93311312,35.53164976,NA,NA,NA,NA,NA,NA,NA,NA,851567
2018,Q2,Philadelphia,A,85439454,14889710,0.174272064,29.44590673,28.02066103,NA,NA,NA,NA,NA,NA,NA,NA,1085759
2018,Q2,Philadelphia,O,45525612,8302868,0.182377955,25.52789584,28.02066103,NA,NA,NA,NA,NA,NA,NA,NA,510848
2018,Q2,Phoenix,A,44911958,8355559,0.18604308,30.40778919,26.23181946,NA,NA,NA,NA,NA,NA,NA,NA,850371
2018,Q2,Phoenix,O,55548218,10343812,0.186367234,22.87740792,26.23181946,NA,NA,NA,NA,NA,NA,NA,NA,676735
2018,Q2,Raleigh-Durham,A,33206411,4270650,0.128609201,26.52793069,24.36779285,NA,NA,NA,NA,NA,NA,NA,NA,537239
2018,Q2,Raleigh-Durham,O,20076856,2172686,0.108218438,20.6777105,24.36779285,NA,NA,NA,NA,NA,NA,NA,NA,90790
2018,Q2,Salt Lake City,A,20101852,2027874,0.100879959,28.10577543,24.188848,NA,NA,NA,NA,NA,NA,NA,NA,275746
2018,Q2,Salt Lake City,O,24556347,2741367,0.111635782,21.38765233,24.188848,NA,NA,NA,NA,NA,NA,NA,NA,128638
2018,Q2,San Diego,A,30551450,4978879,0.162967028,36.79420881,32.67072978,NA,NA,NA,NA,NA,NA,NA,NA,1088952
2018,Q2,San Diego,O,33356642,4757715,0.142631713,28.31943637,32.67072978,NA,NA,NA,NA,NA,NA,NA,NA,743946
2018,Q2,San Francisco,A,46050495,4027372,0.087455564,68.96393844,66.52938437,NA,NA,NA,NA,NA,NA,NA,NA,2194536
2018,Q2,San Francisco,O,29925387,3119313,0.104236346,63.50212935,66.52938437,NA,NA,NA,NA,NA,NA,NA,NA,724636
2018,Q2,Seattle,A,59888882,6949260,0.116035895,46.36658204,35.24503093,NA,NA,NA,NA,NA,NA,NA,NA,1033678
2018,Q2,Seattle,O,51977566,7549304,0.145241584,27.9976855,35.24503093,NA,NA,NA,NA,NA,NA,NA,NA,912082
2018,Q2,South Bay,A,31210949,5518187,0.176802923,53.12453698,51.23819018,NA,NA,NA,NA,NA,NA,NA,NA,1770138
2018,Q2,South Bay,O,50548965,6791922,0.134363226,49.72783771,51.23819018,NA,NA,NA,NA,NA,NA,NA,NA,1131359
2018,Q2,South Florida,A,51817856,8799234,0.169810847,37.67732718,33.43493205,NA,NA,NA,NA,NA,NA,NA,NA,669302
2018,Q2,South Florida,O,51137809,8032140,0.15706852,28.98044754,33.43493205,NA,NA,NA,NA,NA,NA,NA,NA,836465
2018,Q2,Suburban Maryland,A,38378226,8004729,0.208574753,28.18842204,27.16275084,NA,NA,NA,NA,NA,NA,NA,NA,678493
2018,Q2,Suburban Maryland,O,21724704,4353641,0.200400475,25.26922404,27.16275084,NA,NA,NA,NA,NA,NA,NA,NA,212336
2018,Q2,Tampa,A,22636282,2653479,0.117222387,28.75794681,23.71754681,NA,NA,NA,NA,NA,NA,NA,NA,309597
2018,Q2,Tampa,O,28107216,4545359,0.16171502,20.84830109,23.71754681,NA,NA,NA,NA,NA,NA,NA,NA,510429
2018,Q2,US National,A,2000810821,360740607,0.180297209,37.3409868,33.53238329,NA,NA,NA,NA,NA,NA,NA,NA,41549478
2018,Q2,US National,O,1538997226,254260034,0.165239882,28.41388548,33.53238329,NA,NA,NA,NA,NA,NA,NA,NA,22803527
2018,Q2,Washington DC,A,77452129,11365407,0.146741053,58.51411006,54.21149203,NA,NA,NA,NA,NA,NA,NA,NA,1605209
2018,Q2,Washington DC,O,46955711,7781868,0.165727828,47.77724605,54.21149203,NA,NA,NA,NA,NA,NA,NA,NA,580411
2018,Q3,Atlanta,A,103659328,22206503,0.214225805,29.50725861,26.39333343,NA,NA,NA,NA,NA,NA,NA,NA,1929820
2018,Q3,Atlanta,O,65945176,12669083,0.192115387,20.36346716,26.39333343,NA,NA,NA,NA,NA,NA,NA,NA,432794
2018,Q3,Austin,A,37106334,4199842,0.113183965,38.97018941,34.546588,NA,NA,NA,NA,NA,NA,NA,NA,972136
2018,Q3,Austin,O,27947525,3343603,0.12045739,28.60200496,34.546588,NA,NA,NA,NA,NA,NA,NA,NA,413090
2018,Q3,Baltimore,A,41339238,7241564,0.175174105,26.64668926,23.5329756,NA,NA,NA,NA,NA,NA,NA,NA,397079
2018,Q3,Baltimore,O,40264706,6697067,0.166325988,20.82742144,23.5329756,NA,NA,NA,NA,NA,NA,NA,NA,328047
2018,Q3,Boston,A,133284672,18386614,0.137949951,40.60839782,31.39963948,NA,NA,NA,NA,NA,NA,NA,NA,2930333
2018,Q3,Boston,O,116186937,15204502,0.130862405,21.95028174,31.39963948,NA,NA,NA,NA,NA,NA,NA,NA,1189301
2018,Q3,Charlotte,A,37279246,6131532,0.164475751,30.07800111,27.46022386,NA,NA,NA,NA,NA,NA,NA,NA,506425
2018,Q3,Charlotte,O,27835480,3056498,0.109805831,22.15718598,27.46022386,NA,NA,NA,NA,NA,NA,NA,NA,247663
2018,Q3,Chicago Suburbs,A,54362692,14701312,0.270430169,26.58091109,23.44238666,NA,NA,NA,NA,NA,NA,NA,NA,816288
2018,Q3,Chicago Suburbs,O,46523263,12500345,0.268690203,19.86749353,23.44238666,NA,NA,NA,NA,NA,NA,NA,NA,400563
2018,Q3,Dallas-Ft. Worth,A,121551095,29055606,0.239040265,26.35121821,24.20748054,NA,NA,NA,NA,NA,NA,NA,NA,2490479
2018,Q3,Dallas-Ft. Worth,O,83525774,20849540,0.24961804,21.18353768,24.20748054,NA,NA,NA,NA,NA,NA,NA,NA,1207382
2018,Q3,Denver-Boulder,A,53440362,9929665,0.185808341,32.00951465,28.2188713,NA,NA,NA,NA,NA,NA,NA,NA,1340273
2018,Q3,Denver-Boulder,O,57339667,10272337,0.179148878,24.50850175,28.2188713,NA,NA,NA,NA,NA,NA,NA,NA,690236
2018,Q3,Detroit,A,34423167,6291562,0.182771155,21.44343181,18.92442719,NA,NA,NA,NA,NA,NA,NA,NA,224991
2018,Q3,Detroit,O,47236239,9664797,0.204605557,17.03667583,18.92442719,NA,NA,NA,NA,NA,NA,NA,NA,276423
2018,Q3,Downtown Chicago,A,68489608,11558016,0.168755762,44.94168875,39.63030911,NA,NA,NA,NA,NA,NA,NA,NA,1248581
2018,Q3,Downtown Chicago,O,72611317,12200714,0.168027719,35.23972049,39.63030911,NA,NA,NA,NA,NA,NA,NA,NA,1051024
2018,Q3,Houston,A,114154896,31590818,0.276736427,33.43971493,28.51226048,NA,NA,NA,NA,NA,NA,NA,NA,2858821
2018,Q3,Houston,O,78051358,19188813,0.245938351,20.66844645,28.51226048,NA,NA,NA,NA,NA,NA,NA,NA,1242823
2018,Q3,Los Angeles,A,144098024,24940147,0.173077647,41.88091744,39.48000035,NA,NA,NA,NA,NA,NA,NA,NA,2295256
2018,Q3,Los Angeles,O,69043674,13067672,0.189266753,35.1455829,39.48000035,NA,NA,NA,NA,NA,NA,NA,NA,888703
2018,Q3,Nashville,A,21176858,3107645,0.146747218,30.78083573,28.48752706,NA,NA,NA,NA,NA,NA,NA,NA,489553
2018,Q3,Nashville,O,22248695,2181525,0.098051818,25.50604627,28.48752706,NA,NA,NA,NA,NA,NA,NA,NA,187441
2018,Q3,Manhattan,A,244542518,30684926,0.125478899,82.03056489,74.63208553,NA,NA,NA,NA,NA,NA,NA,NA,4198889
2018,Q3,Manhattan,O,199870492,20133493,0.100732693,61.99008265,74.63208553,NA,NA,NA,NA,NA,NA,NA,NA,4550078
2018,Q3,Northern New Jersey,A,112430880,28781089,0.255989182,28.20377433,27.11558709,NA,NA,NA,NA,NA,NA,NA,NA,1962510
2018,Q3,Northern New Jersey,O,33439279,7687782,0.229902744,23.98049994,27.11558709,NA,NA,NA,NA,NA,NA,NA,NA,151979
2018,Q3,Northern Virginia,A,98785668,22604095,0.228819579,34.81234315,32.80668928,NA,NA,NA,NA,NA,NA,NA,NA,1484098
2018,Q3,Northern Virginia,O,50820827,10635174,0.209268023,28.78525845,32.80668928,NA,NA,NA,NA,NA,NA,NA,NA,426118
2018,Q3,Orange County (CA),A,43620738,8993739,0.206180349,39.69036261,36.10755655,NA,NA,NA,NA,NA,NA,NA,NA,639470
2018,Q3,Orange County (CA),O,40590141,6580151,0.162112051,30.37301583,36.10755655,NA,NA,NA,NA,NA,NA,NA,NA,624081
2018,Q3,Philadelphia,A,85439454,14704408,0.172103253,29.22495767,27.80045517,NA,NA,NA,NA,NA,NA,NA,NA,1313159
2018,Q3,Philadelphia,O,45393669,8163805,0.179844573,25.42614194,27.80045517,NA,NA,NA,NA,NA,NA,NA,NA,532011
2018,Q3,Phoenix,A,45540054,9098116,0.199782723,30.72866293,26.81669529,NA,NA,NA,NA,NA,NA,NA,NA,607730
2018,Q3,Phoenix,O,55671065,10433823,0.187573817,23.22566131,26.81669529,NA,NA,NA,NA,NA,NA,NA,NA,944183
2018,Q3,Raleigh-Durham,A,33206411,4113199,0.123867617,26.38558672,24.56930718,NA,NA,NA,NA,NA,NA,NA,NA,466538
2018,Q3,Raleigh-Durham,O,20154116,2534770,0.125769347,22.19994199,24.56930718,NA,NA,NA,NA,NA,NA,NA,NA,208338
2018,Q3,Salt Lake City,A,20101852,2006432,0.099813291,28.18531392,24.49694664,NA,NA,NA,NA,NA,NA,NA,NA,207043
2018,Q3,Salt Lake City,O,24556347,2601013,0.105920192,21.91576162,24.49694664,NA,NA,NA,NA,NA,NA,NA,NA,171509
2018,Q3,San Diego,A,30551450,5615224,0.183795663,37.38849356,32.76538371,NA,NA,NA,NA,NA,NA,NA,NA,955156
2018,Q3,San Diego,O,33324242,5258840,0.157808241,28.19284377,32.76538371,NA,NA,NA,NA,NA,NA,NA,NA,539530
2018,Q3,San Francisco,A,46800865,3801901,0.081235699,73.70200369,70.56940177,NA,NA,NA,NA,NA,NA,NA,NA,1381643
2018,Q3,San Francisco,O,29997219,2823733,0.094133159,66.43380053,70.56940177,NA,NA,NA,NA,NA,NA,NA,NA,1055568
2018,Q3,Seattle,A,59888882,7581699,0.126596102,45.75198181,36.30158605,NA,NA,NA,NA,NA,NA,NA,NA,1453238
2018,Q3,Seattle,O,51977566,7554431,0.145340222,28.56360119,36.30158605,NA,NA,NA,NA,NA,NA,NA,NA,768564
2018,Q3,South Bay,A,31210949,4557093,0.146009434,52.63389831,49.57579962,NA,NA,NA,NA,NA,NA,NA,NA,1465310
2018,Q3,South Bay,O,50548965,6308393,0.124797669,47.27685658,49.57579962,NA,NA,NA,NA,NA,NA,NA,NA,1198493
2018,Q3,South Florida,A,51924594,9253244,0.178205418,38.45700746,33.91995615,NA,NA,NA,NA,NA,NA,NA,NA,602599
2018,Q3,South Florida,O,51137809,8067220,0.15775451,28.9477406,33.91995615,NA,NA,NA,NA,NA,NA,NA,NA,900868
2018,Q3,Suburban Maryland,A,38578226,8932397,0.231539859,28.76772802,27.84621482,NA,NA,NA,NA,NA,NA,NA,NA,874344
2018,Q3,Suburban Maryland,O,21724704,4164965,0.191715616,25.80787302,27.84621482,NA,NA,NA,NA,NA,NA,NA,NA,201529
2018,Q3,Tampa,A,22886282,2707233,0.118290642,28.97241949,24.14690564,NA,NA,NA,NA,NA,NA,NA,NA,420570
2018,Q3,Tampa,O,28107216,4666376,0.166020569,21.20752359,24.14690564,NA,NA,NA,NA,NA,NA,NA,NA,453044
2018,Q3,US National,A,2007428122,363950321,0.181301795,37.93970143,34.01179539,NA,NA,NA,NA,NA,NA,NA,NA,38161795
2018,Q3,US National,O,1538913569,255810022,0.166256235,28.66206249,34.01179539,NA,NA,NA,NA,NA,NA,NA,NA,22806367
2018,Q3,Washington DC,A,77553779,11174700,0.14408969,57.55983672,53.63129586,NA,NA,NA,NA,NA,NA,NA,NA,1629463
2018,Q3,Washington DC,O,46840101,7299557,0.155839907,48.47243208,53.63129586,NA,NA,NA,NA,NA,NA,NA,NA,1524984
2018,Q4,Atlanta,A,103659328,20742293,0.200100593,29.48293794,26.48856673,NA,NA,NA,NA,NA,NA,NA,NA,1633800
2018,Q4,Atlanta,O,66210064,11722491,0.177049987,20.99680231,26.48856673,NA,NA,NA,NA,NA,NA,NA,NA,733452
2018,Q4,Austin,A,37479825,4425204,0.118068961,39.61785943,35.53022777,NA,NA,NA,NA,NA,NA,NA,NA,694070
2018,Q4,Austin,O,27947525,3592630,0.129428893,30.33173142,35.53022777,NA,NA,NA,NA,NA,NA,NA,NA,381866
2018,Q4,Baltimore,A,41594238,7167071,0.172309227,27.17114084,23.47865105,NA,NA,NA,NA,NA,NA,NA,NA,368227
2018,Q4,Baltimore,O,40390703,5753680,0.142450603,20.36365249,23.47865105,NA,NA,NA,NA,NA,NA,NA,NA,495782
2018,Q4,Boston,A,133484672,18508938,0.138659651,42.01476112,32.90895363,NA,NA,NA,NA,NA,NA,NA,NA,1356055
2018,Q4,Boston,O,116186937,14664944,0.126218527,22.34521231,32.90895363,NA,NA,NA,NA,NA,NA,NA,NA,1037042
2018,Q4,Charlotte,A,37279246,5842469,0.156721759,30.1201906,27.39650789,NA,NA,NA,NA,NA,NA,NA,NA,670952
2018,Q4,Charlotte,O,27835480,3033848,0.108992121,22.17751613,27.39650789,NA,NA,NA,NA,NA,NA,NA,NA,254516
2018,Q4,Chicago Suburbs,A,53959122,14304151,0.26509236,27.11303169,23.56821774,NA,NA,NA,NA,NA,NA,NA,NA,1182043
2018,Q4,Chicago Suburbs,O,46460863,12883903,0.27730658,19.81768758,23.56821774,NA,NA,NA,NA,NA,NA,NA,NA,333113
2018,Q4,Dallas-Ft. Worth,A,121551095,28392299,0.233583243,26.50205072,24.21118784,NA,NA,NA,NA,NA,NA,NA,NA,1950211
2018,Q4,Dallas-Ft. Worth,O,83525774,20815271,0.24920776,21.03370612,24.21118784,NA,NA,NA,NA,NA,NA,NA,NA,1314217
2018,Q4,Denver-Boulder,A,53728022,9414136,0.175218362,31.05302572,27.79657153,NA,NA,NA,NA,NA,NA,NA,NA,1044257
2018,Q4,Denver-Boulder,O,57339667,10148368,0.176986867,24.8869664,27.79657153,NA,NA,NA,NA,NA,NA,NA,NA,921212
2018,Q4,Detroit,A,34423167,6542122,0.190049974,22.15418149,19.33666198,NA,NA,NA,NA,NA,NA,NA,NA,344437
2018,Q4,Detroit,O,47236239,9983037,0.211342757,17.12685623,19.33666198,NA,NA,NA,NA,NA,NA,NA,NA,347463
2018,Q4,Downtown Chicago,A,68691823,10906297,0.158771401,45.73834564,41.06661692,NA,NA,NA,NA,NA,NA,NA,NA,2682231
