"year","quarter","market","occupancy_proportion","starting_occupancy_proportion","avg_occupancy_proportion"
2022,"Q2","San Francisco",0.34,0.34,0.34
2022,"Q2","Los Angeles",0.41,0.4,0.404285714285714
2022,"Q2","Dallas/Ft Worth",0.51,0.5,0.504285714285714
2022,"Q2","South Bay/San Jose",0.35,0.33,0.328571428571429
2022,"Q2","Austin",0.58,0.63,0.6
2022,"Q3","Washington D.C.",0.44,0.4,0.396842105263158
2022,"Q3","Manhattan",0.43,0.42,0.394736842105263
2022,"Q3","Chicago",0.45,0.41,0.412105263157895
2022,"Q3","Houston",0.58,0.55,0.549473684210526
2022,"Q3","Philadelphia",0.39,0.38,0.376315789473684
2022,"Q3","San Francisco",0.39,0.35,0.363684210526316
2022,"Q3","Los Angeles",0.44,0.41,0.42
2022,"Q3","Dallas/Ft Worth",0.54,0.51,0.511052631578947
2022,"Q3","South Bay/San Jose",0.4,0.34,0.346842105263158
2022,"Q3","Austin",0.61,0.59,0.582631578947368
2022,"Q4","Washington D.C.",0.18,0.44,0.4125
2022,"Q4","Manhattan",0.18,0.43,0.433333333333333
2022,"Q4","Chicago",0.17,0.45,0.4275
2022,"Q4","Houston",0.27,0.58,0.540833333333333
2022,"Q4","Philadelphia",0.23,0.39,0.385833333333333
2022,"Q4","San Francisco",0.16,0.4,0.383333333333333
2022,"Q4","Los Angeles",0.25,0.45,0.429166666666667
2022,"Q4","Dallas/Ft Worth",0.26,0.53,0.501666666666667
2022,"Q4","South Bay/San Jose",0.15,0.41,0.355
2022,"Q4","Austin",0.24,0.63,0.5825
2023,"Q1","Washington D.C.",0.46,0.3,0.444615384615385
2023,"Q1","Manhattan",0.46,0.3,0.453076923076923
2023,"Q1","Chicago",0.48,0.33,0.482307692307692
2023,"Q1","Houston",0.61,0.43,0.584615384615385
2023,"Q1","Philadelphia",0.42,0.32,0.410769230769231
2023,"Q1","San Francisco",0.41,0.2,0.413076923076923
2023,"Q1","Los Angeles",0.48,0.32,0.460769230769231
2023,"Q1","Dallas/Ft Worth",0.53,0.4,0.49
2023,"Q1","South Bay/San Jose",0.37,0.18,0.374615384615385
2023,"Q1","Austin",0.64,0.43,0.6
2023,"Q2","Washington D.C.",0.46,0.43,0.453846153846154
2023,"Q2","Manhattan",0.49,0.45,0.473076923076923
2023,"Q2","Chicago",0.53,0.47,0.512307692307692
2023,"Q2","Houston",0.61,0.6,0.597692307692308
2023,"Q2","Philadelphia",0.4,0.42,0.41
2023,"Q2","San Francisco",0.46,0.43,0.436923076923077
2023,"Q2","Los Angeles",0.49,0.47,0.483846153846154
2023,"Q2","Dallas/Ft Worth",0.53,0.53,0.526923076923077
2023,"Q2","South Bay/San Jose",0.39,0.37,0.378461538461538
2023,"Q2","Austin",0.59,0.63,0.596153846153846
2023,"Q3","Washington D.C.",0.47,0.34,0.433076923076923
2023,"Q3","Manhattan",0.47,0.33,0.442307692307692
2023,"Q3","Chicago",0.53,0.36,0.508461538461539
2023,"Q3","Houston",0.6,0.49,0.593076923076923
2023,"Q3","Philadelphia",0.42,0.32,0.394615384615385
2023,"Q3","San Francisco",0.43,0.32,0.414615384615385
2023,"Q3","Los Angeles",0.47,0.39,0.473846153846154
2023,"Q3","Dallas/Ft Worth",0.55,0.42,0.526153846153846
2023,"Q3","South Bay/San Jose",0.4,0.28,0.378461538461538
2023,"Q3","Austin",0.58,0.45,0.562307692307692
2023,"Q4","Washington D.C.",0.21,0.47,0.44
2023,"Q4","Manhattan",0.21,0.49,0.458461538461538
2023,"Q4","Chicago",0.25,0.53,0.501538461538462
2023,"Q4","Houston",0.29,0.6,0.559230769230769
2023,"Q4","Philadelphia",0.25,0.43,0.402307692307692
2023,"Q4","San Francisco",0.18,0.42,0.392307692307692
2023,"Q4","Los Angeles",0.25,0.48,0.448461538461538
2023,"Q4","Dallas/Ft Worth",0.28,0.54,0.506923076923077
2023,"Q4","South Bay/San Jose",0.18,0.41,0.386923076923077
2023,"Q4","Austin",0.26,0.6,0.557692307692308
2024,"Q1","Washington D.C.",0.46,0.31,0.465384615384615
2024,"Q1","Manhattan",0.5,0.31,0.477692307692308
2024,"Q1","Chicago",0.5,0.34,0.52
2024,"Q1","Houston",0.59,0.41,0.571538461538462
2024,"Q1","Philadelphia",0.41,0.32,0.41
2024,"Q1","San Francisco",0.46,0.24,0.433076923076923
2024,"Q1","Los Angeles",0.47,0.3,0.453846153846154
2024,"Q1","Dallas/Ft Worth",0.6,0.39,0.559230769230769
2024,"Q1","South Bay/San Jose",0.43,0.22,0.418461538461538
2024,"Q1","Austin",0.66,0.38,0.608461538461538
2024,"Q2","Washington D.C.",0.47,0.44,0.478461538461538
2024,"Q2","Manhattan",0.52,0.46,0.504615384615385
2024,"Q2","Chicago",0.56,0.49,0.546923076923077
2024,"Q2","Houston",0.61,0.55,0.586923076923077
2024,"Q2","Philadelphia",0.41,0.39,0.413846153846154
2024,"Q2","San Francisco",0.44,0.41,0.434615384615385
2024,"Q2","Los Angeles",0.47,0.44,0.47
2024,"Q2","Dallas/Ft Worth",0.59,0.57,0.570769230769231
2024,"Q2","South Bay/San Jose",0.4,0.39,0.387692307692308
2024,"Q2","Austin",0.62,0.61,0.623846153846154
2024,"Q3","Washington D.C.",0.48,0.42,0.443846153846154
2024,"Q3","Manhattan",0.52,0.44,0.474615384615385
2024,"Q3","Chicago",0.55,0.48,0.519230769230769
2024,"Q3","Houston",0.6,0.57,0.566153846153846
2024,"Q3","Philadelphia",0.42,0.37,0.400769230769231
2024,"Q3","San Francisco",0.39,0.38,0.414615384615385
2024,"Q3","Los Angeles",0.47,0.42,0.461538461538462
2024,"Q3","Dallas/Ft Worth",0.6,0.54,0.574615384615385
2024,"Q3","South Bay/San Jose",0.42,0.34,0.398461538461538
2024,"Q3","Austin",0.64,0.58,0.603846153846154
